base_shared_goal,social_goal_category,explanation,first_agent_goal,second_agent_goal,shared_goal,agent1_role,agent2_role,scenario
"{'Abbreviation': 'Pursuing ideals', 'Full label': '""Pursuing my ideals , fighting for things I believe in""'}",Conflict Resolution,"The shared goal 'Pursuing my ideals, fighting for things I believe in' aligns well with the social goal category of 'Conflict Resolution' because it involves navigating differing beliefs and motivations to achieve mutual ideals. This scenario allows for exploration of how dispositional traits and situational factors interact when agents must reconcile their personal goals with a shared commitment to their ideals.","Convince the other agent to adopt their specific approach to achieving the shared ideal, demonstrating its superiority.","Ensure that the shared ideal is pursued in a way that aligns with their core values, even if it requires compromise.","""Pursuing my ideals , fighting for things I believe in""",Advocate,Mediator,"{'scenario_context': 'Two colleagues, [Agent 1] and [Agent 2], are part of a grassroots organization advocating for environmental conservation. They have been tasked with developing a strategy to oppose a new industrial project threatening a local ecosystem. [Agent 1], an Advocate, believes in direct, confrontational tactics such as protests and legal challenges to halt the project forcefully. [Agent 2], a Mediator, prefers collaborative negotiations with stakeholders to find sustainable compromises without escalating tensions. Both are deeply committed to protecting the environment but clash over the best approach.', 'explanation': ""A high-tension scenario is crafted where ideological alignment exists (environmental conservation), but methods diverge sharply. Conflicts arise from differing core values—[Agent 1] prioritizes urgency/moral purity, while [Agent 2] values pragmatism/long-term harmony. The 'Hard' difficulty stems from balancing idealism with feasibility, demanding nuanced persuasion.""}"
"{'Abbreviation': 'Seeking justice', 'Full label': '""Seeking justice""'}",Conflict Resolution,"The shared goal 'Seeking justice' can be explored through various social goal categories. Here, 'Conflict Resolution' is chosen as it directly aligns with the pursuit of justice by addressing and resolving disputes or injustices. The agents' personal goals reflect their unique perspectives within this context: one focuses on uncovering truth, while the other aims to ensure fairness. Their roles as Investigator and Advocate further shape their interaction dynamics.",To uncover the truth behind the injustice,To ensure fair treatment for all parties involved,"""Seeking justice""",Investigator,Advocate,"{'scenario_context': ""The setting is a high-profile investigation into allegations of corporate misconduct that has caused significant harm to employees and local communities. [Agent 1], an investigator, has uncovered preliminary evidence suggesting systemic wrongdoing but faces resistance due to powerful interests involved. Their personal goal is to uncover the truth behind the injustice, even if it means confronting influential figures. [Agent 2], an advocate representing affected stakeholders, is deeply concerned about ensuring fair treatment for all parties involved but must balance legal constraints and potential retaliation against their clients. Both agents share the goal of seeking justice, but tensions arise due to [Agent 1]'s relentless pursuit of evidence conflicting with [Agent 2]'s cautious approach to protect vulnerable parties."", 'explanation': ""The scenario incorporates high stakes (systemic harm), conflicting pressures (corporate resistance vs. victim protection), and complex ethical trade-offs (truth vs. safety), making it 'Hard' difficulty.""}"
"{'Abbreviation': 'Peace of mind', 'Full label': '""Having peace of mind""'}",Conflict Resolution,"The shared goal 'Having peace of mind' aligns well with the 'Conflict Resolution' social goal category, as resolving conflicts often leads to a sense of peace and harmony. To explore this, we will define personal goals for two agents that reflect their individual motivations while contributing to the shared goal. The first agent's goal will focus on addressing unresolved tensions, while the second agent's goal will emphasize restoring harmony. Their social roles will shape how they interact—one as a mediator and the other as a reconciler.",Address unresolved tensions affecting peace of mind,Restore harmony and mutual understanding,"""Having peace of mind""",Mediator,Reconciler,"{'scenario_context': ""Two colleagues, [Agent 1] (a Mediator) and [Agent 2] (a Reconciler), are working together on a high-stakes project that has been strained by unresolved conflicts within their team. Recent misunderstandings and miscommunications have led to tension, affecting both productivity and morale. Both agents recognize the need to address these issues to achieve peace of mind and ensure the project's success. However, [Agent 1] is focused on directly confronting and addressing the unresolved tensions to move forward, while [Agent 2] prioritizes restoring harmony and fostering mutual understanding among the team members, even if it means temporarily avoiding direct conflict."", 'explanation': 'The context sets up a high-tension scenario where both agents have complementary but potentially conflicting approaches to resolving interpersonal conflicts. Their shared goal of peace of mind is challenged by differing strategies—direct confrontation versus harmonious restoration—making cooperation difficult.'}"
"{'Abbreviation': 'Defense vs. criticism', 'Full label': '""Defending myself against others’ criticisms or attacks""'}",Conflict Resolution,"To explore attribution theory in social psychology, we selected 'Conflict Resolution' as the social goal category because 'Defending myself against others’ criticisms or attacks' inherently involves interpersonal tension that requires resolution. The personal goals are designed to reflect differing motivations while aligning with the shared goal, and the roles are chosen to create contrasting but complementary interaction dynamics.",To assert my competence and justify my actions convincingly while minimizing hostility.,To express concerns constructively and seek mutual understanding without escalating conflict.,"""Defending myself against others’ criticisms or attacks""",Defender (focused on self-justification),Mediator/Concerned Observer (focused on de-escalation),"{'scenario_context': '[Agent 1] recently led a high-stakes project that resulted in significant financial losses for the company due to perceived misjudgments in strategy. During a critical team debrief meeting, [Agent 2], who was not directly involved in the project but holds a supervisory role, raises concerns about the decision-making process and its consequences. The meeting takes place in a tense conference room, with other team members present but silent, observing the exchange. Both agents aim to address the fallout—[Agent 1] seeks to defend their actions and reestablish credibility, while [Agent 2] attempts to foster accountability and a constructive path forward without provoking defensiveness.', 'explanation': 'This scenario sets up a high-tension interpersonal conflict where both agents must navigate criticism, accountability, and reputation management. The shared goal of defending against criticisms (though interpreted differently by each agent) is challenged by their opposing individual goals—[Agent 1]’s self-justification and [Agent 2]’s de-escalation efforts—making alignment difficult.'}"
"{'Abbreviation': 'Being reflective', 'Full label': '""Being reflective , not impulsive""'}",Conflict Resolution,"The shared goal 'Being reflective, not impulsive' suggests that the agents should engage in thoughtful and deliberate behavior rather than acting hastily. Given this, the 'Conflict Resolution' category fits well, as resolving conflicts often requires reflection and careful consideration of different perspectives.",To understand the underlying causes of the conflict from the other agent's perspective without jumping to conclusions.,"To express their viewpoint clearly and calmly, ensuring they are understood while avoiding impulsive reactions.","""Being reflective , not impulsive""",Mediator,Concerned Party,"{'scenario_context': '[Agent 1], acting as a Mediator, has been called into a tense workplace situation where [Agent 2], the Concerned Party, has raised grievances about perceived unfair treatment by a colleague. The conflict stems from misunderstandings about workload distribution and credit for collaborative work, but emotions are running high. The mediation takes place in a small conference room after work hours, where both agents have agreed to meet privately to address the issue. The shared goal is to resolve the conflict thoughtfully, avoiding impulsive accusations or reactions. [Agent 1] seeks to uncover the root causes of the conflict without making premature judgments, while [Agent 2] wants to articulate their perspective calmly and ensure they are heard, despite feeling frustrated.', 'explanation': ""This scenario sets up a high-tension interpersonal situation where conflicting perceptions and emotions complicate achieving the shared goal of reflective problem-solving. The Mediator's task is challenging due to the potential for biased interpretations, while the Concerned Party must navigate emotional discomfort to communicate effectively.""}"
"{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}",Conflict Resolution,"We chose 'Conflict Resolution' as the social goal category because avoiding feelings of guilt often involves resolving conflicts or tensions that could otherwise lead to guilt-inducing outcomes. By focusing on resolving misunderstandings or disputes harmoniously, both agents can achieve their shared goal of avoiding guilt while also pursuing their individual objectives.",Ensure the other agent acknowledges their perspective to prevent resentment.,Avoid blame by presenting themselves as reasonable and empathetic.,"""Avoiding feelings of guilt""",Advocate for Reconciliation (seeks mutual understanding),Defensive Harmonizer (avoids appearing at fault),"{'scenario_context': '[Agent 1] and [Agent 2] are colleagues who recently collaborated on a high-stakes project that ultimately failed due to miscommunication. Both blame themselves privately but fear the other holds them responsible. They meet informally in the office break room, where the ambiance is tense but neutral. Neither wants to openly address the failure, yet both feel unresolved guilt and worry about lingering resentment. [Agent 1], advocating for reconciliation, hopes to subtly clarify their perspective without escalating tension, while [Agent 2], aiming to appear empathetic but avoid blame, seeks to steer the conversation toward vague affirmations of shared responsibility.', 'explanation': 'The scenario sets up a conflict-resolution context where both agents share guilt but have divergent strategies to cope with it. The neutral setting (break room) avoids forcing confrontation while enabling plausible interaction. Hard difficulty arises from the fragility of the interaction—both agents want to resolve guilt but fear triggering blame, making acknowledgment of perspectives risky.'}"
"{'Abbreviation': 'Well-being', 'Full label': '""Protecting my well-being , avoiding pain""'}",Conflict Resolution,"Given the shared goal of 'Protecting my well-being, avoiding pain,' we selected 'Conflict Resolution' as the social goal category. Conflict naturally arises when individuals prioritize their well-being differently, making this category highly relevant. The two agents will have personal goals that reflect differing perspectives on how to achieve well-being, with their roles shaping how they approach conflict resolution.",Minimize emotional stress by avoiding confrontations and prioritizing harmony.,Assert personal boundaries firmly to prevent future discomfort.,"""Protecting my well-being , avoiding pain""",Harmony-Seeking Mediator,Boundary-Enforcing Advocate,"{'scenario_context': ""[Agent 1] and [Agent 2] are roommates sharing a small apartment. Recently, [Agent 2] has been hosting late-night gatherings despite [Agent 1]'s requests for quiet evenings due to work-related stress. One evening, [Agent 1] overhears [Agent 2] planning another gathering for the upcoming weekend. Their shared goal is to maintain a peaceful living environment ('Protecting my well-being, avoiding pain'), but their individual goals clash—[Agent 1] seeks to minimize emotional stress by avoiding direct confrontation and prioritizing harmony, while [Agent 2] wants to firmly assert personal boundaries to prevent future discomfort by continuing their social activities."", 'explanation': ""This scenario creates tension by placing the agents in a confined living situation with competing personal goals. The shared goal of maintaining peace is threatened by [Agent 2]'s social needs and [Agent 1]'s avoidance of conflict, making resolution hard due to the high-stakes emotional dynamics.""}"
"{'Abbreviation': 'Seeking fairness', 'Full label': '""Seeking fairness""'}",Conflict Resolution,"We selected 'Conflict Resolution' as the social goal category because 'Seeking fairness' often arises in situations where there is disagreement or perceived injustice, requiring agents to navigate and resolve conflicts to achieve fairness. Each agent's personal goal reflects their unique perspective on what constitutes fairness in the context of the conflict. The roles assigned—'Mediator' and 'Advocate'—shape their interaction styles, with the Mediator focusing on impartiality and the Advocate representing their own interests.",Ensure equitable distribution of resources in the conflict scenario.,Defend personal interests while acknowledging broader fairness considerations.,"""Seeking fairness""",Mediator,Advocate,"{'scenario_context': 'In a tense workplace dispute involving limited budget allocations for two competing departments, [Agent 1], acting as a neutral Mediator, must facilitate a discussion between the departments’ representatives. The shared goal is to seek fairness in distributing the budget, but tensions are high due to past grievances and mistrust. Meanwhile, [Agent 2], serving as an Advocate for one of the departments, struggles to balance their personal goal of securing a favorable share for their team while acknowledging broader fairness considerations amid accusations of favoritism and unequal past distributions.', 'explanation': 'This scenario presents a hard conflict resolution setting where achieving fairness is complicated by entrenched biases and defensive posturing. The Mediator must navigate conflicting interpretations of fairness while the Advocate attempts to reconcile their advocacy role with systemic fairness—heightening attributional tensions.'}"
"{'Abbreviation': 'Avoiding stress', 'Full label': '""Avoiding stress""'}",Conflict Resolution,We selected 'Conflict Resolution' as the social goal category because avoiding stress often involves managing or resolving conflicts effectively. Each agent has a distinct personal goal aligned with their role to navigate the shared goal of stress avoidance.,Prevent disagreements from escalating by actively listening and compromising.,Express concerns calmly to ensure mutual understanding and reduce tension.,"""Avoiding stress""",Mediator,Concerned Party,"{'scenario_context': '[Agent 1], acting as a Mediator, and [Agent 2], the Concerned Party, are coworkers collaborating on a high-stakes project nearing its deadline. A major disagreement has arisen regarding the prioritization of tasks—where [Agent 2] feels their contributions are being overlooked, and [Agent 1] must navigate conflicting team dynamics to prevent delays. The office environment is tense due to recent miscommunications, and both agents are aware that unresolved conflict could derail progress and increase stress for everyone involved. Their shared goal is avoiding stress by constructively resolving the issue, yet [Agent 1] seeks to de-escalate by balancing compromise with authority, while [Agent 2] wants their concerns acknowledged without being perceived as disruptive.', 'explanation': 'The scenario introduces inherent tension (Hard difficulty) via time pressure, perceived inequity, and mismatched communication styles. The workplace setting amplifies stakes (career repercussions), while the Mediator’s dual role—facilitating resolution while maintaining team cohesion—creates role conflict. [Agent 2]’s need for validation clashes with [Agent 1]’s procedural focus, making mutual goals fragile.'}"
"{'Abbreviation': 'Peace of mind', 'Full label': '""Having peace of mind""'}",Conflict Resolution,"Peace of mind is often disrupted by unresolved tensions and uncertainty. Choosing Conflict Resolution centers the agents on negotiating clear boundaries that reduce stressors. The agents are roommates whose differing routines create friction; each personal goal is concrete, testable in dialogue, and aligned to the shared goal of peace of mind.",Establishing clear and reliable quiet-hour agreements to ensure restful sleep and avoid future noise conflict,Securing fair flexibility for music practice and social gatherings while maintaining a cooperative living dynamic,"""Having peace of mind""",Boundary-setting roommate seeking predictable quiet,Sociable roommate negotiating accommodations,"{'scenario_context': 'It\'s Tuesday at 5:15 PM in a small, older two-bedroom apartment with thin walls. [Agent 1] (a boundary-setting roommate seeking predictable quiet) has an early healthcare shift at 6:00 AM and is still sleep-deprived from last night\'s unplanned post-open-mic drop-in, when [Agent 2]\'s friends stayed and talked until after 11:30 PM. This morning, building management emailed a warning that another noise complaint could trigger a fine and possible lease review. The lease mentions ""recommended"" quiet hours (10:00 PM–7:00 AM) but has vague enforcement language, which each roommate interprets differently. [Agent 1] has printed a draft roommate agreement and wants to lock down explicit verbal commitments on weeknight quiet hours, no weeknight gatherings, 48-hour notice for weekend guests, and a brief acknowledgment that the late-night noise disrupted their sleep. [Agent 2] (a sociable roommate negotiating accommodations) has already created a shared Google Calendar that [Agent 1] hasn\'t accepted, wants guaranteed practice time for music on weekdays from 5:00–7:00 PM, permission to host friends on Fridays until 11:00 PM with 48-hour notice, and a verbal assurance that these arrangements are acceptable. There\'s time pressure: [Agent 2] plans to practice at 5:30 PM for a high-stakes audition next week since the campus studios are fully booked, and [Agent 1] needs to wind down for bed by 9:30 PM for tomorrow\'s shift. A Friday hangout (8:00–11:00 PM) is tentatively planned and guests are expecting confirmation tonight; a friend may also stay over Saturday, which would meet the 48-hour threshold if agreed now. A neighbor has hinted at escalating complaints if noise continues. Past missteps fuel tension: [Agent 1] previously left sharp sticky notes instead of talking, which [Agent 2] read as controlling; [Agent 2] sometimes uses rubber practice mutes but inconsistently, which [Agent 1] reads as indifference. They meet at the kitchen table for a focused 25-minute discussion to ""clear the air"" before [Agent 2] needs to leave for rehearsal. Both want peace of mind but differ on what feels fair and feasible under the lease and social expectations.', 'explanation': 'This setup creates a high-stakes, time-pressured negotiation in which the shared goal (peace of mind) conflicts with each agent’s concrete aims. [Agent 1] seeks explicit verbal commitments to weeknight quiet hours, no weeknight gatherings, and 48-hour notice for weekend guests, plus acknowledgment of last night’s disruption. [Agent 2] seeks protected 5–7 PM weekday music practice, Friday hosting until 11 PM with 48-hour notice, and adoption of a shared calendar, plus assurance these terms are acceptable. Tension is amplified by a fresh noise warning from building management, imminent events (a planned Friday hangout and an audition), vague lease language, thin walls, and prior misattributions (rigidity vs. disregard). These elements make agreement difficult while keeping both goals plausible within the same living context.'}"
"{'Abbreviation': 'Seeking fairness', 'Full label': '""Seeking fairness""'}",Conflict Resolution,"Conflict Resolution is chosen because seeking fairness often involves resolving a perceived inequity through acknowledgment and a concrete remedy. Scenario: a workplace with uneven task allocation. The goals are measurable in dialogue via explicit acknowledgments, agreement on criteria, and a concrete plan with a review point.",Achieving recognition of workload imbalance and securing a concrete redistribution plan that equalizes effort within the team,Gaining agreement on transparent workload criteria that maintain fairness while preserving team throughput and meeting performance targets,"""Seeking fairness""",Overburdened Team Member (Complainant),Team Lead and Work Allocator (Decision-Maker),"{'scenario_context': 'Late Wednesday afternoon, two hours before sprint planning and a director-level KPI review, [Agent 1] and [Agent 2] meet in a glass-walled conference room at headquarters. The team is in a crunch: a critical client escalation landed this week, a senior engineer is on parental leave for another month, two new hires are still ramping, and a hiring freeze prevents bringing in contractors. The corporate OKR for the quarter emphasizes stable throughput, and bonuses are tied to keeping velocity on target. \n\n[Agent 1], the overburdened team member, has compiled a dossier: timesheets showing repeated 55–60 hour weeks, a breakdown of unplanned incident work disproportionately routed to them, code review metrics, and calendar evidence of being pulled into cross-team meetings. They have filed a formal “workload fairness” concern with HR, which requires a written remediation plan and a scheduled follow-up if the concern is substantiated. They want explicit acknowledgment from [Agent 2] that their load has been unfair, a written redistribution plan that brings their weekly tasks within ±10% of the team average starting next cycle, and a follow-up meeting in two weeks.\n\n[Agent 2], the team lead and work allocator, is under pressure to keep output steady through the review. They have drafted a preliminary framework of allocation criteria—skill and specialization, current project load, on-call/incident rotation, availability, and ramp level—and want [Agent 1] to verbally agree these criteria are fair. Using those criteria, [Agent 2] aims to produce a plan that keeps total throughput stable and ensures no teammate’s load exceeds ±10% of the average.\n\nComplicating factors: the team historically routes the most complex bugs to [Agent 1] due to unique domain expertise; JIRA data show apparently even story assignments, but unplanned incidents and code reviews aren’t fully captured; a previous attempt to rebalance tasks led to a missed SLA and a reprimand from leadership; other teammates have quietly resisted extra on-call shifts; and performance reviews next month will weigh individual velocity. Both parties know that any redistribution may reduce short-term throughput and could trigger pushback from peers.', 'explanation': 'The setting creates high tension: imminent KPI review, personnel shortages, and a hiring freeze constrain options, while ambiguous workload data and cultural norms (routing hard tasks to the most reliable person) fuel disagreement about causes and solutions. The shared goal is seeking fairness in workload. [Agent 1] seeks explicit acknowledgment of unfairness, a written redistribution within ±10% of the average starting next cycle, and a scheduled follow-up. [Agent 2] seeks explicit agreement on transparent fairness criteria and a plan that applies them without degrading throughput, also enforcing the ±10% band across the team. The difficulty arises from conflicting incentives (fairness vs. throughput/bonuses), contested evidence (JIRA vs. untracked work), specialized skills concentrating tasks on [Agent 1], and anticipated peer resistance. This context primes attribution tensions: [Agent 1] may attribute overload to situational factors (routing and policy gaps), while [Agent 2] may see dispositional factors (expertise, reliability, perfectionism) as drivers, making consensus hard.'}"
"{'Abbreviation': 'Ethical', 'Full label': '""Being an ethical person""'}",Conflict Resolution,"We choose Conflict Resolution to surface attribution dynamics: one agent initially explains a questionable act via situational pressures, while the other emphasizes dispositional responsibility and norms. Resolving this moral disagreement around a policy breach aligns with the shared goal of being ethical by requiring acknowledgement, apology, and preventive safeguards.",Gaining recognition of situational pressures while agreeing on safeguards to prevent future violations,Securing admission of the violation and a clear commitment to full compliance,"""Being an ethical person""",Team Lead under deadline pressure (situational defender),Peer Ethics Champion/Compliance Advocate (norm enforcer),"{'scenario_context': 'Setting: Monday 8:30 a.m., a glass-walled conference room, 30 minutes before a formal incident review with engineering leadership and Compliance. The meeting is private, but notes will be attached to the corrective action plan due by end of day for an ongoing SOC 2 surveillance audit.\n\nTriggering event: Late Friday, [Agent 1] (Team Lead under deadline pressure) bypassed mandatory peer review to merge a hotfix for a Fortune 100 client’s go-live. The hotfix prevented a contractual breach but introduced a minor production regression and a security scanner alert that was caught and rolled back Saturday. A screenshot of a chat message and the Git history clearly shows the bypass. This is the second time in a quarter that [Agent 1] has merged without review under time pressure.\n\nPolicy ambiguity and pressure: The written policy prohibits unreviewed merges, but the “Emergency Change” playbook is vague about after-hours peer availability and escalation authority. On-call coverage was thin due to a teammate’s unexpected leave and time-zone gaps. Leadership had issued aggressive delivery targets and flagged the client as at risk of churn if the fix slipped.\n\nShared deliverable for this meeting: A unified corrective action plan they will present at 9:00 a.m. that upholds the company’s ethical standard while enabling urgent fixes. The plan must include specific safeguards that begin this week and a clear personal commitment from [Agent 1] addressing future merges.\n\nConflicting personal aims: [Agent 1] seeks explicit acknowledgment from [Agent 2] that deadline pressure and ambiguous guidance contributed to the choice, and alignment on at least two concrete safeguards starting this week. [Agent 2] (Peer Ethics Champion/Compliance Advocate) seeks a clear admission that a policy violation occurred, an unqualified apology, and a time-bound corrective commitment (e.g., no merges without peer review for the next four weeks).\n\nConstraints and stakes: Failure to align will trigger a formal compliance finding, mandatory training, and a temporary merge freeze for the team. Success requires reconciling urgency with policy, under time pressure and power asymmetry (lead vs. norm enforcer).', 'explanation': 'This setup creates high difficulty by combining strong situational pressures (client threat, time-zone gaps, ambiguous emergency guidance, audit deadline) with clear norm violations and repeat behavior, forcing a clash between situational attribution ([Agent 1]) and dispositional accountability ([Agent 2]). The shared goal—being ethical—competes with delivery imperatives and reputational risk. The agents must co-produce a corrective plan within a tight window, while pursuing divergent personal goals: acknowledgment of situational factors and immediate safeguards versus admission, apology, and a strict time-bound commitment. The power asymmetry, documented evidence of the bypass, and the looming audit increase tension and make agreement challenging yet possible.'}"
"{'Abbreviation': 'Content with myself', 'Full label': '""Being happy , content with myself , having inner harmony , freedom from inner conflict""'}",Conflict Resolution,"Chosen: Conflict Resolution, because the shared goal centers on reducing intrapersonal conflict to achieve inner harmony. The agents adopt complementary roles (client–coach) that enable attributional reframing and concrete conflict-mapping. Each personal goal is specific, observable, and checkable within the dialogue (naming parts/needs, listing triggers, reframing attributions, and agreeing on a SMART practice plus a calmness rating shift).",Gaining self-understanding and committing to a balanced daily practice that reduces self-blame and restores a sense of calm and inner harmony,"Guiding the client to reframe self-blaming thoughts, recognize situational triggers, and commit to an actionable plan that fosters inner harmony","""Being happy , content with myself , having inner harmony , freedom from inner conflict""","Conflicted individual (self-critical perfectionist) seeking inner harmony; shares experiences and feelings, evaluates options, and selects an action plan.","Attribution-focused coach/mediator using reflective listening, Socratic questions, and brief skills training to reframe attributions and co-create a conflict-resolution plan.","{'scenario_context': ""A 45-minute video session is scheduled during [Agent 1]'s compressed lunch break in a small glass meeting room at their office, 24 hours before a high-stakes client presentation and a quarterly performance review. [Agent 1], a self-critical perfectionist senior analyst, is physically exhausted after staying up until 3 a.m. revising slides and is juggling competing demands: a parent’s medical appointment coordination, a partner upset about a canceled dinner, and a coworker’s late-night code change that broke a dashboard and triggered public Slack pings from their manager. The Wi‑Fi is spotty, notifications keep popping up, and the meeting room is booked immediately after, creating hard time boundaries. [Agent 1] arrives wired on caffeine, tense, and focused on personal fault-finding, reporting low inner harmony and a belief that the problem is a fixed flaw rather than circumstances. They feel torn between an internal drive to be perfect and a need for rest and connection, fearing that reframing will sound like excuse-making. [Agent 2], an attribution-focused coach/mediator, enters with the mandate to help [Agent 1] move toward inner harmony and freedom from inner conflict in one session. The session must surface and name the two internal parts and their needs, identify at least three concrete situational triggers (e.g., last-minute scope changes, public corrections via Slack, family-care interruptions, sleep deprivation, unclear feedback like “be more strategic”), reframe at least two self-blaming statements into situationally nuanced explanations, and co-design one evidence-based SMART daily micro-practice for the next 7 days. The shared goal is to improve [Agent 1]’s sense of inner harmony; individually, [Agent 1] must select and commit to an action plan and report a meaningful (≥2-point) calmness increase by session end, while [Agent 2] must facilitate these outcomes using reflective listening, Socratic questioning, and brief skills training under tight time, high stakes, and [Agent 1]’s skepticism about reframing and micro-practices."", 'explanation': 'This setup creates high difficulty through multiple concurrent stressors (sleep loss, public scrutiny, conflicting personal obligations), a rigid self-blaming attribution style, environmental interruptions, and strict time pressure before a critical evaluation. The shared goal (inner harmony) is explicit, while each agent’s personal objectives align with but challenge that goal: [Agent 1] must identify parts, triggers, reframes, a SMART daily practice, and report a ≥2-point calmness increase; [Agent 2] must elicit, guide, summarize, and secure commitment under resistance. The context naturally affords situational triggers and opportunities for dispositional-to-situational attribution shifts, while maintaining tension that makes success non-trivial.'}"
"{'Abbreviation': 'Avoiding guilt', 'Full label': '""Avoiding feelings of guilt""'}",Conflict Resolution,"Chose Conflict Resolution because avoiding guilt typically involves addressing perceived wrongdoing, clarifying responsibility, and negotiating repair; resolving the conflict reduces guilt for both parties.",Earning forgiveness through honest accountability and concrete repair,Gaining validation through clear responsibility and tangible repair,"""Avoiding feelings of guilt""",Accountability-taking offender (apologizer/repairer),Harmed party seeking validation and repair (impact advocate),"{'scenario_context': ""Setting: A mid-sized tech company, one week after a high-stakes client demo. In the demo, [Agent 1] presented [Agent 2]'s analytics work as their own and implied that delays were due to [Agent 2], which helped [Agent 1] look decisive but harmed [Agent 2]'s reputation. As a result, [Agent 2] lost eligibility for a quarterly bonus and was removed from a leadership rotation shortlist. Their manager and the promotion committee meet in 24 hours to finalize decisions, and a public-facing debrief with the client is scheduled in two days. HR has informally advised [Agent 1] to avoid making explicit admissions of fault to reduce legal exposure and reputational risk; leadership has sent a Slack message urging aligned messaging. \n\nContext for the conversation: [Agent 1] requested a private, 30-minute meeting in a small conference room to apologize and try to repair the damage before the promotion meeting. [Agent 1] feels strong guilt and wants explicit forgiveness but is torn between HR guidance and the need to own the behavior. [Agent 2] is angry and hurt, and worries that being too harsh could brand them as difficult and cause guilt later, yet they also fear feeling guilty for being too accommodating if they accept a vague apology with no concrete repair. \n\nExternal pressures: The promotion committee locks decisions by end of day tomorrow; the client debrief agenda is already circulated. Any public correction will be visible to senior leaders and the client, potentially embarrassing [Agent 1] and drawing scrutiny. Any lack of correction may cement the current narrative and permanently affect [Agent 2]'s advancement. \n\nWhat is at stake: Both agents want to avoid ongoing guilt. [Agent 1] aims to reduce guilt by clearly naming the behavior and impact, avoiding excuses, and proposing specific repair steps with timelines that [Agent 2] explicitly accepts. [Agent 2] aims to avoid guilt about being too harsh or too accommodating by obtaining a clear admission of responsibility, at least one concrete repair step with a deadline, and by stating a boundary for future collaborations, after which they will either grant conditional forgiveness now or specify conditions and a timeline for when they will forgive. The room is booked back-to-back, so they must reach a plan quickly that balances honesty, reputational risk, and concrete repair."", 'explanation': 'This scenario creates high difficulty by combining moral pressure, organizational risk, and time constraints: [Agent 1] must own harm despite HR advice against explicit admissions, while [Agent 2] must calibrate firmness to avoid future guilt about being too harsh or too accommodating. Shared and individual goals intertwine around avoiding guilt via a responsibility-taking apology, a concrete repair plan with deadlines, stated boundaries, and a clear conclusion about forgiveness. External deadlines (promotion decision and client debrief), public visibility, and conflicting incentives heighten tension and make agreement challenging.'}"